name;url;category;city;country;type
DaWanda;https://de.dawanda.com/;;Berlin;Germany;Corporate
deluxe;https://www.bydeluxe.com/en/;;Berlin;Germany;Corporate
Bezahlt;https://www.bezahlt.de/;;Berlin;Germany;Startup
xbAV;https://www.xbav.de/;;Berlin;Germany;Corporate
ucm.agency;https://ucm.agency/de/;;Berlin;Germany;Corporate
car2go;https://www.car2go.com;;Berlin;Germany;Corporate
clarat;https://www.clarat.org/;;Berlin;Germany;Startup
mobileJob;http://www.mobilejob.com/;;Berlin;Germany;Startup
trommsdorff + drüner;http://www.td-berlin.com/;;Berlin;Germany;Agency
Jonny Fresh;https://www.jonnyfresh.com/;;Berlin;Germany;Startup
we.conect;http://we-conect.com/;;Berlin;Germany;Startup
SinnerSchrader;https://sinnerschrader.com/;;Hamburg;Germany;Agency
TalentFrogs;http://www.talentfrogs.de/;;Cologne;Germany;Headhunter
Campusjäger;https://www.campusjaeger.de/;;Karlsruhe;Germany;Startup
MyBellance;http://www.mybellance.com/;;Berlin;Germany;Startup
Ubilabs;https://www.ubilabs.net/;;Hamburg;Germany;Agency
Akra;https://www.akra.de/;;Hamburg;Germany;Agency
SI Labs;http://www.si-labs.com/;;Berlin;Germany;Agency
betterplace;https://www.betterplace.org/de;;Berlin;Germany;Startup
piqd;https://www.piqd.de;;Munich;Germany;Startup
Compeon;https://www.compeon.de/;;Düsseldorf;Germany;Startup
Hanse Ventures;http://hanseventures.com/en/;;Hamburg;Germany;Company Builder
CHI;http://www.chi-deutschland.com/;;Frankfurt;Germany;Corporate
evopark;https://www.evopark.de/;;Cologne;Germany;Startup
Jura Online;https://jura-online.de/;;Berlin;Germany;Startup
Medlinq;https://www.medlinq.com/;;Hamburg;Germany;Startup
Toptranslation;https://www.toptranslation.com/;;Hamburg;Germany;Startup
Gohiring;http://www.gohiring.com/;;Berlin;Germany;Startup
tolingo;https://www.tolingo.com/en/;;Hamburg;Germany;Startup
Liefery;https://www.liefery.com/#/;;Berlin;Germany;Startup
Hello Neu;http://helloneu.de/;;Munich;Germany;Agency
PAIRFinance;https://www.pairfinance.com/;;Berlin;Germany;Startup
Floot;http://www.floot.de/;;Hamburg;Germany;Agency
DeutschlandStellen24;http://www.deutschlandstellen24.de/;;Berlin;Germany;Startup
Fash Back;https://www.fashback.de/;;Hamburg;Germany;Startup
passion.io;https://passion.io/;;Berlin;Germany;Startup
SpaceNet;https://www.space.net/;;Munich;Germany;Agency
Njiuko;https://www.njiuko.com/;;Hamburg;Germany;Agency
Paywithatweet;http://www.paywithatweet.com/;;Hamburg;Germany;Startup
Offerista;https://www.offerista.com;;Berlin;Germany;Startup
99chairs;https://www.99chairs.com/;;Berlin;Germany;Startup
i22;https://www.i22.de/;;Bonn;Germany;Agency
Xing;https://www.xing.com;;Hamburg;Germany;Corporate
Tabit;http://tabit-gmbh.de/;;Munich;Germany;Agency
Pro7Sat1;http://www.prosiebensat1.com/;;Munich;Germany;Corporate
Moovel;https://www.moovel.com/de/en;;Stuttgart;Germany;Startup
Goodpatch;http://goodpatch.com/;;Berlin;Germany;Agency
